Company,Title,Location,Salary
metacareers,SiteOps Global Infrastructure Services Engineer,"Los Lunas, NM; US - NM - Los Lunas Data Center; Sarpy County, NE; Henrico, VA; Mesa, AZ; Denver, CO; Kansas City, MO; Dallas, TX; Santa Clara, CA; Ashburn, VA; Temple, TX; US - OR - Hillsboro Data Ctr; Gallatin, TN; Reston, VA; Forest City, NC; Menlo Park, CA; Prineville, OR; Fort Worth, TX; US - VA - Sandston Data Center; DeKalb, IL; New Albany, OH; Chicago, IL; Altoona, IA; Fremont, CA; Huntsville, AL; Eagle Mountain, Utah; US - TX - Houston Data Center; Remote, US; Kuna, ID","$131,040/year to $183,000/year + bonus + equity + benefits"
metacareers,"Research Engineer Intern, 3D Scene Understanding, Computer Vision / ML (PhD)","Zurich, Switzerland",
metacareers,Games Producer,"Los Angeles, CA; Burlingame, CA; New York, NY; Remote, US","$126,000/year to $176,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Rendering and Reconstruction (PhD)","Zurich, Switzerland",
metacareers,"Research Scientist Intern, AI for Science (PhD)","San Francisco, CA; New York, NY; Menlo Park, CA; Seattle, WA","$7,650/month to $10,250/month + benefits"
metacareers,Software Engineering Director,"Menlo Park, CA","$253,000/year to $327,000/year + bonus + equity + benefits"
metacareers,"Planning Director, Global Supply Chain","Fremont, CA; Remote, US","$206,000/year to $262,000/year + bonus + equity + benefits"
metacareers,"Engineering Program Manager, Strategic Engineering & Design","Reston, VA; Fremont, CA; Remote, US","$129,000/year to $185,000/year + bonus + equity + benefits"
metacareers,"Application Engineer, Salesforce ","Austin, TX; Menlo Park, CA; Remote, US","$135,000/year to $188,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Product Algorithm Research (PhD)","Menlo Park, CA; New York, NY","$7,500/month to $10,250/month + benefits"
metacareers,Software engineer (Leadership) - Infrastructure,"Sunnyvale, CA; Los Angeles, CA; Bellevue, WA; Redmond, WA; Menlo Park, CA; Seattle, WA; Burlingame, CA; Washington, DC; Boston, MA; New York, NY; San Francisco, CA; Remote, US","$205,000/year to $281,000/year + bonus + equity + benefits"
metacareers,"Software Engineer, VROS Infrastructure","Burlingame, CA","$173,000/year to $241,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, PHD, PyTorch Distributed","Menlo Park, CA; New York, NY","$7,500/month to $10,250/month + benefits"
metacareers,Display Engineer,"Sunnyvale, CA; Redmond, WA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Internal Community Relations Partner,"Remote, US","$138,000/year to $200,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Societal Research (PhD)","Menlo Park, CA; Washington, DC; New York, NY","$7,500/month to $10,250/month + benefits"
metacareers,Inventory Management Lead,"Dublin, Ireland",
metacareers,Retail Channel Marketing Executive - DACH,"Berlin, Germany",
metacareers,Development Line Operations Lead,"Plymouth, UK",
metacareers,Channel Marketing Manager,"Remote, Poland; Remote, Sweden; Remote, Ireland; Remote, Spain; Remote, UK; London, United Kingdom",
metacareers,ASIC Graphics Engineer,"Remote, Poland; Remote, Sweden; Remote, Ireland; Remote, Spain; Remote, UK; London, United Kingdom",
metacareers,Web Development Manager,Singapore,
metacareers,"Infra Data Center Technical Program Manager, ERAD","Reston, VA; Fremont, CA; Remote, US","$157,000/year to $214,000/year + bonus + equity + benefits"
metacareers,Lead Construction Manager,"Newton County, GA; Forest City, NC","$143,000/year to $199,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, AI Computer Vision (PhD)","Pittsburgh, PA; Menlo Park, CA; Seattle, WA; New York, NY; San Francisco, CA","$7,650/month to $10,250/month + benefits"
metacareers,"Wet Process Engineer, Integrated Waveguide Technology","Redmond, WA","$102,000/year to $145,000/year + bonus + equity + benefits"
metacareers,Data Center Systems Engineer,"Fremont, CA; Remote, US","$196,000/year to $269,000/year + bonus + equity + benefits"
metacareers,"Research Scientist Intern, Intelligent Input and Interfaces (PhD)","Redmond, WA","$7,500/month to $10,250/month + benefits"
metacareers,Global Facilities Asset Management Quality and Reliability Director,"Fremont, CA; Remote, US","$202,000/year to $260,000/year + bonus + equity + benefits"
metacareers,"Electrical Engineer, Power Systems","Sunnyvale, CA; Redmond, WA","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,"Research Scientist, Sensors and Systems Research","Burlingame, CA","$253,000/year to $327,000/year + bonus + equity + benefits"
metacareers,Depth Projector Module: Tx Lead,"Sunnyvale, CA; Redmond, WA; Remote, US","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Product Architect,"Sunnyvale, CA","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Camera System Engineer,"Sunnyvale, CA; Remote, US","$129,000/year to $196,000/year + bonus + equity + benefits"
metacareers,Systems HW Technical Program Manager,"Redmond, WA; Menlo Park, CA","$167,000/year to $228,000/year + bonus + equity + benefits"
metacareers,Signal Integrity and Power Integrity Engineer,"Sunnyvale, CA; Remote, US","$167,000/year to $230,000/year + bonus + equity + benefits"
metacareers,Audio Engineering Lead,"Sunnyvale, CA","$129,000/year to $196,000/year + bonus + equity + benefits"
